X,Y,OBJECTID,AIC,LifeboatStationNameProper,LaunchTime,YearOfCall,LifeboatClass,LifeboatNumber,RoSType,CasualtyCategory,CasualtyTypeFull,ReasonForLaunch,OutcomeOfService,Activity,VisibilityAtIncident,WeatherAtIncident,SeaConditionsAtIncident,WeatherAtLaunch,VisibilityAtLaunch,WindDirectionAtLaunch,SeaConditionsAtLaunch,DateOfLaunch,ROSNumber,GlobalID,CreationDate,Creator,EditDate,Editor
-9.2217,53.2417,55304,Hoax and false alarm,GALWAY,16:32:00,2013,ATLANTIC 85,B-853,ILB,OTHER,Object in the sea,Marine Debris or Object,False alarm,NOT KNOWN / NOT RELEVANT / OTHER,FAIR,PART CLOUDY,ROUGH,PART CLOUDY,FAIR,225,ROUGH,2013/08/20 00:00:00+00,,{E1B21204-2285-4FC6-95FA-024D4E7D22E6},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0567,53.275,55388,Person in distress,GALWAY,23:05:00,2015,ATLANTIC 85,B-853,ILB,PEOPLE,Person on man made structure,Person in distress,Others assisted casualty,SUSPECTED SELF HARM,GOOD,PART CLOUDY,CALM,PART CLOUDY,GOOD,225,CALM,2015/08/19 00:00:00+00,,{88AA527B-E691-414D-A92F-6BA901EEC9FC},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0567,53.25,55422,"Motorboating - Fire, explosion, capsize or collision",GALWAY,21:28:00,2015,ATLANTIC 85,B-853,ILB,LEISURE,Powered boat,Fire,Rendered assistance,MOTORBOATING,GOOD,CLEAR SKY,CALM,CLEAR SKY,GOOD,180,CALM,2015/08/17 00:00:00+00,,{C3EC79D8-9DC7-4643-9721-33E1FF823C17},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0883,53.25,55862,Motorboating - Other reason,GALWAY,14:45:00,2013,ATLANTIC 85,B-853,ILB,LEISURE,Powered boat,Machinery failure,Rendered assistance,MOTORBOATING,GOOD,PART CLOUDY,CHOPPY,PART CLOUDY,GOOD,225,CHOPPY,2013/07/27 00:00:00+00,,{2C9FCE10-D0F3-4C65-9632-88EE03EA166B},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0733,53.25,56118,Commercial fishing - Other reasons,GALWAY,16:01:00,2013,ATLANTIC 85,B-853,ILB,COMMERCIAL,Fishing Vessel,Machinery failure,Rendered assistance,FISHING (COMMERCIAL),POOR,PART CLOUDY,CHOPPY,PART CLOUDY,POOR,225,CHOPPY,2013/07/27 00:00:00+00,,{BAC590A9-4DDD-4B1C-B479-85828079661B},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.1083,53.2567,56134,Other - On shore,GALWAY,23:06:00,2013,ATLANTIC 85,B-853,ILB,PEOPLE,Person on shoreline/beach/river bank/embankment,Person in distress,Others assisted casualty,NOT KNOWN / NOT RELEVANT / OTHER,POOR,MIST,SLIGHT,MIST,POOR,225,SLIGHT,2013/08/14 00:00:00+00,,{14152151-2F71-40F5-9BCF-11C9A4C3B1ED},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.05,53.2667,56170,Person in distress,GALWAY,02:12:00,2012,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,Person in distress,Rendered assistance,SUSPECTED SELF HARM,FAIR,PART CLOUDY,CALM,PART CLOUDY,FAIR,315,CALM,2012/08/24 00:00:00+00,,{CFE5A3EB-E217-4A78-8C43-3CEBA2754DE0},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-8.9483,53.1517,56177,Small craft - Inflatables,GALWAY,12:55:00,2012,ATLANTIC 85,B-853,ILB,LEISURE,Inflatables (airbed/toy/dinghy),Adverse conditions,Rendered assistance,MANUAL CRAFT ACTIVITY (INFLATABLES),GOOD,CLOUDY,ROUGH,CLOUDY,GOOD,225,ROUGH,2012/08/22 00:00:00+00,,{ACFAEF9F-4628-4497-81C8-67D7865844C7},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-8.955,53.165,56611,Commercial fishing - Other reasons,GALWAY,18:36:00,2013,ATLANTIC 85,B-853,ILB,COMMERCIAL,Fishing Vessel,Out of fuel,Rendered assistance,FISHING (COMMERCIAL),GOOD,PART CLOUDY,CHOPPY,PART CLOUDY,GOOD,225,CHOPPY,2013/08/16 00:00:00+00,,{C1CDA479-F5AF-4B78-BA51-6EEE5C8760E0},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-8.98,53.245,57174,Motorboating - Other reason,GALWAY,15:40:00,2012,ATLANTIC 85,B-853,ILB,LEISURE,Powered boat,Machinery failure,Rendered assistance,MOTORBOATING,GOOD,CLOUDY,SMOOTH,CLOUDY,GOOD,180,SMOOTH,2012/08/26 00:00:00+00,,{F6D3D9EB-1073-486A-95D4-D2E8C0D6ED42},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
